Question,Cypher Query,Expected,Result,human_correct,Reasoning
Which market index reached new highs in 2023?,"MATCH (index:Entity)-[r:Increases]->(metric:Entity)
WHERE index.type = 'FIN_MARKET'
  AND metric.type = 'FIN_METRIC'
  AND r.date CONTAINS '2023'
RETURN index.name AS MarketIndex,
       metric.name AS MetricReached,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",S&P500,"The market is rallying from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
all three major indexes climbing from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
Wall Street's main indexes inched higher on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-edges-higher-as-powell-comments-bolster-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
U.S. stocks advanced on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-rallies-as-powell-cements-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the Dow closed at its highest level since January 2022. from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P registered its highest close of the year on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
All three major U.S. stock indexes were higher from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-rallies-as-powell-cements-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the Dow Jones .DJI rallied to close at its highest level since January 2022. from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00
The S&P 500 gained nearly 9% gain in November from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
with the index rising 77% of the time from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
Indexes up: Dow 0.82% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
S&P 0.59% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
Nasdaq 0.55% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P 500 and the Nasdaq registered their biggest one-month percentage gains since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P 500 and the Nasdaq registered their biggest one-month percentage gains since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
both the indexes finished November with their biggest monthly gain since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00
both the indexes finished November with their biggest monthly gain since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00",1,technically correct but the output is far to long and un-organise
Which market index includes Apple as a major component?,"MATCH (apple:Entity)-[r:Member_Of|Related_To]->(marketIndex:Entity)
WHERE apple.name CONTAINS 'Apple' AND marketIndex.type = 'FIN_MARKET'
RETURN apple.name AS Company,
       type(r) AS RelationshipType,
       marketIndex.name AS MarketIndex,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Nasdag,Apple Inc. (NASDAQ: AAPL) from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00,1,
What major market event occurred in late 2023?,"MATCH (event:Entity)-[r]-(other:Entity)
WHERE event.type = 'EVENT'
  AND (r.date STARTS WITH '2023-10' OR r.date STARTS WITH '2023-11' OR r.date STARTS WITH '2023-12')
RETURN event.name AS Event,
       type(r) AS RelationshipType,
       other.name AS RelatedEntity,
       other.type AS RelatedEntityType,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Equity Market Rally,"a gain of about as much in the previous year. from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
December brought the S&P 500 index a loss of about 5% last year from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
and suspended CMA's investigation. from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case on Date: 2023-12-01 00:00:00+00:00
mainly of tech major Apple Inc. (AAPL). from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case on Date: 2023-12-01 00:00:00+00:00
November, historically a strong month for the index. from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
Tax-loss selling, 'Santa rally' could sway U.S. stocks from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
Tax-loss selling, 'Santa rally' could sway U.S. stocks from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
many investors came away from the Fed’s Nov. 1 meeting more confident that the central bank was close to wrapping up its rate increases. from sourceURL: https://www.nasdaq.com/articles/graphic-resurgent-sp-500-crests-new-2023-closing-high-after-roller-coaster-year on Date: 2023-12-01 00:00:00+00:00",1,"Technically correct it mention ""Santa Rally"" which is the name of the event"
Which companies are related to content or streaming services?,"MATCH (company:Entity)-[r:Related_To]-(service:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND (service.name CONTAINS 'content' OR service.name CONTAINS 'streaming service' OR service.name CONTAINS 'streaming services')
  AND (service.type = 'PRODUCT' OR service.type = 'CONCEPT')
RETURN company.name AS Company,
       type(r) AS RelationshipType,
       service.name AS RelatedService,
       service.type AS ServiceType,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inc.,No results found,0,The expected answer is missing Paramounts and Amazon. Document only mention Paramounts Global
Which company is Apple discussing a streaming bundle partnership with?,"MATCH (apple:Entity)-[r]-(partner:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND partner.type IN ['ORG', 'COMP']
  AND type(r) IN ['Partners_With', 'Related_To', 'Involved_In']
  AND r.source_text CONTAINS 'streaming bundle partnership'
RETURN apple.name AS Company1,
       type(r) AS RelationshipType,
       partner.name AS Company2,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Paramount Global,No results found,0,
What relationship exists between Apple Inc. and Paramount Global?,"MATCH (e1:Entity {name: 'Apple Inc.'})-[r]-(e2:Entity {name: 'Paramount Global'})
RETURN e1.name AS Entity1,
       type(r) AS RelationshipType,
       e2.name AS Entity2,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Partners_with,"Apple Inc. (AAPL) and Paramount Global are in talks to bundle Paramount+ and Apple TV+ together from sourceURL: https://www.nasdaq.com/articles/wsj%3A-apple-in-talks-to-bundle-paramount-with-apple-tv on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) and Paramount Global are in talks to bundle Paramount+ and Apple TV+ together from sourceURL: https://www.nasdaq.com/articles/wsj%3A-apple-in-talks-to-bundle-paramount-with-apple-tv on Date: 2023-12-01 00:00:00+00:00",1,Correctly mention
Which sector do Apple and Alphabet operate in?,"MATCH (company:Entity)-[r:Operates_In]->(sector:Entity)
WHERE company.name IN ['Apple Inc.', 'Alphabet Inc.'] AND company.type IN ['ORG', 'COMP'] AND sector.type = 'SECTOR'
RETURN company.name AS Company, 
       sector.name AS Sector, 
       r.date AS Date, 
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Technology,No results found,0,
Which companies are members of the Magnificent Seven?,"MATCH (group:Entity)-[r:Member_Of]->(company:Entity)
WHERE group.name CONTAINS 'Magnificent Seven' AND (company.type = 'ORG' OR company.type = 'COMP')
RETURN group.name AS Group, 
       company.name AS Company, 
       r.date AS Date, 
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inc.,No results found,0,Document only mention Apple Inc so the output should reflect this only
Which financial metrics are associated with Alphabet?,"MATCH (org:Entity {name: 'Alphabet Inc.'})-[r]-(metric:Entity)
WHERE metric.type = 'FIN_METRIC'
RETURN org.name AS Company,
       type(r) AS RelationshipType,
       metric.name AS FinancialMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Share price,No results found,0,The expected output is a bit obscure not very clear but still should be capture by the KG
Which macroeconomic condition influenced markets in late 2023?,"MATCH (macro:Entity)-[r]->(market:Entity)
WHERE macro.type = 'MACRO_CONDITION'
  AND market.type = 'FIN_MARKET'
  AND type(r) IN ['Impacts', 'Positively_Impacts', 'Negatively_Impacts', 'Market_Reacts_To', 'Affects_Stock']
  AND (r.date CONTAINS '2023-10' OR r.date CONTAINS '2023-11' OR r.date CONTAINS '2023-12')
RETURN macro.name AS MacroCondition,
       market.name AS Market,
       type(r) AS Relationship,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Easing inflation,"signalled easing inflation and bolstered hopes the central bank would now end its interest rate hikes and could start lowering them soon, propelling a rally in equities. from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-edges-higher-as-powell-comments-bolster-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00",1,Correctly mention but include alot of longer information
Which financial institution provided market commentary?,"MATCH (finInst:Entity)-[r]->(commentary:Entity)
WHERE finInst.type = 'FIN_INST' AND commentary.type = 'COMMENTARY'
RETURN finInst.name AS FinancialInstitution,
       commentary.name AS MarketCommentary,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",BofA Global Research,No results found,0,
What major investment announcement did Apple make?,"MATCH (apple:Entity)-[r:Announces]->(target:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND target.type IN ['ORG', 'COMP', 'EVENT', 'FIN_METRIC', 'CONCEPT']
RETURN apple.name AS Company,
       type(r) AS Relationship,
       target.name AS InvestmentAnnouncement,
       target.type AS TargetType,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Investment in Amkor packaging plant,"Apple Inc. announced it will be the first and largest customer of Amkor Technology, Inc.'s new $2 billion advanced silicon manufacturing and packaging facility from sourceURL: https://www.nasdaq.com/articles/apple-to-be-first-and-largest-customer-of-amkors-%242-bln-chip-packaging-plant on Date: 2023-12-01 00:00:00+00:00",1,Corrently mention
Which companies are subject to the Digital Markets Act?,"MATCH (company:Entity)-[r:Subject_To]->(regulation:Entity)
WHERE regulation.name CONTAINS 'Digital Markets Act' AND (company.type = 'COMP' OR company.type = 'ORG')
RETURN company.name AS Company,
       regulation.name AS Regulation,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inc.,No results found,0,
What type of entity is the European Union in the graph?,"MATCH (entity:Entity {name: 'European Union'}) RETURN entity.name AS EntityName, entity.type AS EntityType",Goverment Body,No results found,0,
Which entity represents Apple in the knowledge graph?,"MATCH (entity:Entity)
WHERE entity.name CONTAINS 'Apple'
RETURN entity.name AS EntityName, entity.type AS EntityType",Apple Inc.,"EntityName: appeal by Apple | EntityType: LITIGATION
EntityName: Apple silicon | EntityType: PRODUCT
EntityName: Apple Inc. | EntityType: ORG
EntityName: Apple | EntityType: ORG
EntityName: Apple's services unit | EntityType: SEGMENT",1,Technically correct but showing a lot of overlap
What type of event is the equity market rally?,"MATCH (event:Entity {name: 'equity market rally'})-[r]-(other:Entity)
WHERE event.type = 'EVENT'
RETURN event.name AS EventName,
       event.type AS EventType,
       type(r) AS RelationshipType,
       other.name AS RelatedEntity,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
LIMIT 1",Event,No results found,0,
"Which sector do Apple, Alphabet, and Nvidia all operate in?","MATCH (apple:Entity {name: 'Apple Inc.'})-[r_apple:Operates_In]->(sector:Entity)
WHERE sector.type = 'SECTOR'
MATCH (alphabet:Entity {name: 'Alphabet Inc.'})-[r_alphabet:Operates_In]->(sector)
MATCH (nvidia:Entity {name: 'NVIDIA Corporation'})-[r_nvidia:Operates_In]->(sector)
RETURN sector.name AS CommonSector,
       r_apple.source_url AS Apple_SourceURL, r_apple.source_text AS Apple_Evidence,
       r_alphabet.source_url AS Alphabet_SourceURL, r_alphabet.source_text AS Alphabet_Evidence,
       r_nvidia.source_url AS Nvidia_SourceURL, r_nvidia.source_text AS Nvidia_Evidence",Technology,No results found,0,
